product_num,product_category,product_name,product_price,product_rom,product_ram,product_color,produc_url,img_url,brand,product_new,product_overview
931,iPhone ,14 Pro ,24.350.000 đ ,,128GB,Đen,https://galaxydidong.vn/san-pham/iphone-14-pro-128gb-moi-vna/,https://galaxydidong.vn/wp-content/uploads/2022/09/apple-iphone-14-pro-galaxydidong-10.webp,galaxydidong,,
932,iPhone ,14 Pro ,24.550.000 đ ,,128GB,Trắng,https://galaxydidong.vn/san-pham/iphone-14-pro-128gb-moi-vna/,https://galaxydidong.vn/wp-content/uploads/2022/09/iPhone-14-Pro-Max-Gold-galaxydidong.webp,galaxydidong,,
933,iPhone ,14 Pro ,24.550.000 đ ,,128GB,Vàng,https://galaxydidong.vn/san-pham/iphone-14-pro-128gb-moi-vna/,https://galaxydidong.vn/wp-content/uploads/2022/09/iPhone-14-Pro-Max-Purple-galaxydidong-1.webp,galaxydidong,,
934,iPhone ,Xs Max  ,7.550.000 đ ,,256GB,,https://galaxydidong.vn/san-pham/iphone-xs-max-256g-quoc-te/,https://galaxydidong.vn/wp-content/uploads/2021/08/iphone-xs-max-64gb-mau-xam-GALAXYDIDONG-1.webp,galaxydidong,99%,
935,iPhone ,Xs Max  ,8.050.000 đ ,,256GB,Đen ,https://galaxydidong.vn/san-pham/iphone-xs-max-256g-quoc-te/,https://galaxydidong.vn/wp-content/uploads/2014/09/iphone-xs-max-256g-quoc-te-moi-95-99.webp,galaxydidong,99%,
936,iPhone ,Xs Max  ,8.250.000 đ ,,256GB,Trắng ,https://galaxydidong.vn/san-pham/iphone-xs-max-256g-quoc-te/,https://galaxydidong.vn/wp-content/uploads/2014/09/iphone-xs-max-256g-quoc-te-moi-95-99-1.webp,galaxydidong,99%,
937,iPhone ,Xs Max  ,8.250.000 đ ,,256GB,Vàng ,https://galaxydidong.vn/san-pham/iphone-xs-max-256g-quoc-te/,https://galaxydidong.vn/wp-content/uploads/2014/09/iphone-xs-max-256g-quoc-te-moi-95-99-2.webp,galaxydidong,99%,
938,iPhone ,XS 64G,4.850.000 đ ,,64GB,,https://galaxydidong.vn/san-pham/iphone-xs-64g-quoc-te/,https://galaxydidong.vn/wp-content/uploads/2021/08/iphone-xs-max-64gb-mau-xam-GALAXYDIDONG-1.webp,galaxydidong,99%,
939,iPhone ,XS 64G,5.450.000 đ ,,64GB,Đen ,https://galaxydidong.vn/san-pham/iphone-xs-64g-quoc-te/,https://galaxydidong.vn/wp-content/uploads/2014/09/iphone-xs-64g-quoc-te-moi-95-99.webp,galaxydidong,99%,
940,iPhone ,14 Pro ,29.700.000 đ,,1TB,Space Black,https://www.huyhoangmobile.vn/iphone/iphone-14-series/iphone-14-pro-lla-908,https://www.huyhoangmobile.vn/upload/images_product/sub_images/Iphone14-pro_silver_20220921121249.jpg,huyhoangmobile,,
