,product_name,product_price,product_memory,product_color,product_overview,produc_url,img_url
232,Điện thoại OPPO Find N2 Flip 5G,19.990.000₫,256GB,Đen,"  |Màn hình: AMOLED, Chính 6.8 & Phụ 3.26, Full HD+ |Hệ điều hành: Android 13 |Camera sau: Chính 50 MP & Phụ 8 MP |Camera trước: 32 MP |Chip: MediaTek Dimensity 9000+ 8 nhân |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 4300 mAh, 44 W",https://www.dienmayxanh.com/dien-thoai/oppo-find-n2-flip,https://cdn.tgdd.vn/Products/Images/42/299034/Slider/oppo-find-n2-flip638164614936691947.jpg
233,Điện thoại Samsung Galaxy S22 Ultra 5G 128GB,17.990.000₫,128GB,Đen,"  |Màn hình: Dynamic AMOLED 2X, 6.8, Quad HD+ (2K+) |Hệ điều hành: Android 12 |Camera sau: Chính 108 MP & Phụ 12 MP, 10 MP, 10 MP |Camera trước: 40 MP |Chip: Snapdragon 8 Gen 1 |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 45 W",https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s22-ultra,https://cdn.tgdd.vn/Products/Images/42/235838/Slider/S22-Ultra-1020x570-1.jpg
234,Điện thoại Samsung Galaxy A04s,3.490.000₫,64GB,Xanh lá đậm,"  |Màn hình: IPS LCD, 6.5, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 2 MP, 2 MP |Camera trước: 5 MP |Chip: Exynos 850 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 15 W",https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a04s,https://cdn.tgdd.vn/Products/Images/42/283819/Slider/samsung-galaxy-a04s637989479227805676.jpg
235,Điện thoại OPPO Reno8 T 5G 256GB,10.690.000₫,256GB,Đen,"  |Màn hình: AMOLED, 6.7, Full HD+ |Hệ điều hành: Android 13 |Camera sau: Chính 108 MP & Phụ 2 MP, 2 MP |Camera trước: 32 MP |Chip: Snapdragon 695 5G |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G |Pin, Sạc: 4800 mAh, 67 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno8-t-5g-256gb,https://cdn.tgdd.vn/Products/Images/42/301642/Slider/oppo-reno8-t-5g-thumb-1020x570.jpg
236,Điện thoại OPPO Reno8 5G,13.990.000₫,256GB,Vàng đồng,"  |Màn hình: AMOLED, 6.43, Full HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 8 MP, 2 MP |Camera trước: 32 MP |Chip: MediaTek Dimensity 1300 |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 80 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno8,https://cdn.tgdd.vn/Products/Images/42/263714/Slider/oppo-reno8-thumb-YT-1020x570.jpg
237,Điện thoại iPhone 14 Plus 256GB,24.490.000₫,256GB,Tím nhạt,"  |Màn hình: OLED, 6.7, Super Retina XDR |Hệ điều hành: iOS 16 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A15 Bionic |RAM: 6 GB |Dung lượng lưu trữ: 256GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 4325 mAh, 20 W",https://www.dienmayxanh.com/dien-thoai/iphone-14-plus-256gb,https://cdn.tgdd.vn/Products/Images/42/289710/Slider/iphone-14-plus-thumb-youtube-1020x570.jpg
238,Điện thoại iPhone 11 128GB,12.490.000₫,128GB,Trắng,"  |Màn hình: IPS LCD, 6.1, Liquid Retina |Hệ điều hành: iOS 15 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A13 Bionic |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 4G |Pin, Sạc: 3110 mAh, 18 W",https://www.dienmayxanh.com/dien-thoai/iphone-11-128gb,https://cdn.tgdd.vn/Products/Images/42/210644/Slider/iphone-11-128gb638176672333284623.jpeg
239,Điện thoại iPhone 14 256GB,22.490.000₫,256GB,Xanh Dương,"  |Màn hình: OLED, 6.1, Super Retina XDR |Hệ điều hành: iOS 16 |Camera sau: 2 camera 12 MP |Camera trước: 12 MP |Chip: Apple A15 Bionic |RAM: 6 GB |Dung lượng lưu trữ: 256GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 3279 mAh, 20 W",https://www.dienmayxanh.com/dien-thoai/iphone-14-256gb,https://cdn.tgdd.vn/Products/Images/42/289663/Slider/iphone-14-thumb-yt-1020x570.jpg
240,Điện thoại iPhone 14 Pro 512GB,33.490.000₫,512GB,,"  |Màn hình: OLED, 6.1, Super Retina XDR |Hệ điều hành: iOS 16 |Camera sau: Chính 48 MP & Phụ 12 MP, 12 MP |Camera trước: 12 MP |Chip: Apple A16 Bionic |RAM: 6 GB |Dung lượng lưu trữ: 512GB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 3200 mAh, 20 W",https://www.dienmayxanh.com/dien-thoai/iphone-14-pro-512gb,https://cdn.tgdd.vn/Products/Images/42/289694/Slider/iphone-14-pro-thumb-YT-1020x570.jpg
241,Điện thoại iPhone 14 Pro Max 1TB,42.490.000₫,1TB,Vàng,"  |Màn hình: OLED, 6.7, Super Retina XDR |Hệ điều hành: iOS 16 |Camera sau: Chính 48 MP & Phụ 12 MP, 12 MP |Camera trước: 12 MP |Chip: Apple A16 Bionic |RAM: 6 GB |Dung lượng lưu trữ: 1TB |SIM: 1 Nano SIM & 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 4323 mAh, 20 W",https://www.dienmayxanh.com/dien-thoai/iphone-14-pro-max-1tb,https://cdn.tgdd.vn/Products/Images/42/289705/Slider/iphone-14-pro-max-thumb-1020x570.jpg
