,product_name,product_price,product_memory,product_color,product_url,img_url
181, realme C33 3GB 32GB ,2.420.000 đ,3GB 32GB,Vàng,https://cellphones.com.vn/realme-c33.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/s/1sdcsc.jpg"
182, realme C33 3GB 32GB ,2.420.000 đ,3GB 32GB,Đen,https://cellphones.com.vn/realme-c33.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/s/1sdcsc.jpg"
183, realme C33 3GB 32GB ,2.420.000 đ,3GB 32GB,Xanh,https://cellphones.com.vn/realme-c33.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/s/1sdcsc.jpg"
184, realme C33 4GB 64GB ,3.090.000 đ,4GB 64GB,Vàng,https://cellphones.com.vn/realme-c33-4gb-64gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/s/1sdcsc_2.jpg"
185, realme C33 4GB 64GB ,3.090.000 đ,4GB 64GB,Xanh,https://cellphones.com.vn/realme-c33-4gb-64gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/s/1sdcsc_2.jpg"
186, realme C33 4GB 64GB ,3.090.000 đ,4GB 64GB,Đen,https://cellphones.com.vn/realme-c33-4gb-64gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/s/1sdcsc_2.jpg"
187, realme 9 Pro ,4.590.000 đ,128GB,Xanh lá,https://cellphones.com.vn/realme-9-pro.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/real_me_pro_002.jpg"
188, realme 9 Pro ,4.590.000 đ,128GB,Xanh dương,https://cellphones.com.vn/realme-9-pro.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/real_me_pro_002.jpg"
189, realme 9 Pro Plus ,5.690.000 đ,128GB,Xanh dương,https://cellphones.com.vn/realme-9-pro-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/9/_/9_ro_plus.png"
190, realme 9 Pro Plus ,5.690.000 đ,128GB,Xanh lá,https://cellphones.com.vn/realme-9-pro-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/9/_/9_ro_plus.png"
191, realme C30s 3GB 64GB ,2.390.000 đ,3GB 64GB,Xanh,https://cellphones.com.vn/realme-c30s-3gb-64gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/realme-c30s-den-glr--009_3_3.jpg"
192, realme C30s 3GB 64GB ,2.390.000 đ,3GB 64GB,Đen,https://cellphones.com.vn/realme-c30s-3gb-64gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/realme-c30s-den-glr--009_3_3.jpg"
193, realme C55 6GB 128GB ,4.290.000 đ,6GB 128GB,Đen,https://cellphones.com.vn/realme-c55.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/g/rgrgrtyt6.jpg"
194, realme C55 6GB 128GB ,4.290.000 đ,6GB 128GB,Vàng,https://cellphones.com.vn/realme-c55.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/g/rgrgrtyt6.jpg"
195, realme C55 8GB 256GB ,5.190.000 đ,8GB 256GB,Vàng,https://cellphones.com.vn/realme-c55-8gb-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/g/rgrgrtyt6_1.jpg"
196, realme C55 8GB 256GB ,5.190.000 đ,8GB 256GB,Đen,https://cellphones.com.vn/realme-c55-8gb-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/g/rgrgrtyt6_1.jpg"
197, Nokia C31 3GB 32GB ,2.150.000 đ,3GB 32GB,Xanh dương,https://cellphones.com.vn/nokia-c31.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/_/1_250.jpg"
198, Nokia C31 3GB 32GB ,2.150.000 đ,3GB 32GB,Xanh lá,https://cellphones.com.vn/nokia-c31.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/_/1_250.jpg"
199, Nokia C21 Plus 2GB 64GB ,1.790.000 đ,2GB 64GB,Xám,https://cellphones.com.vn/nokia-c21-plus-2gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c21-plus-600x600.jpg"
200, Nokia C21 Plus 2GB 64GB ,1.790.000 đ,2GB 64GB,Xanh,https://cellphones.com.vn/nokia-c21-plus-2gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c21-plus-600x600.jpg"
201, Nokia C21 Plus 3GB 32GB ,1.950.000 đ,3GB 32GB,Xám,https://cellphones.com.vn/nokia-c21-plus-32gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c21-plus-600x600_2.jpg"
202, Nokia C21 Plus 3GB 32GB ,1.950.000 đ,3GB 32GB,Xanh,https://cellphones.com.vn/nokia-c21-plus-32gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c21-plus-600x600_2.jpg"
203, Nokia C21 Plus 3GB 64GB ,2.150.000 đ,3GB 64GB,Xanh,https://cellphones.com.vn/nokia-c21-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c21-plus-600x600_2_1.jpg"
204, Nokia C21 Plus 3GB 64GB ,2.150.000 đ,3GB 64GB,Xám,https://cellphones.com.vn/nokia-c21-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c21-plus-600x600_2_1.jpg"
205, Nokia C31 4GB 128GB ,2.450.000 đ,4G 128GB,Xanh lá,https://cellphones.com.vn/nokia-c31-4gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/_/1_250_1.jpg"
206, Nokia C31 4GB 128GB ,2.450.000 đ,4G 128GB,Xanh dương,https://cellphones.com.vn/nokia-c31-4gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/_/1_250_1.jpg"
207, Nokia G11 Plus 3GB 32GB ,2.090.000 đ,32GB,Đen,https://cellphones.com.vn/nokia-g11-plus-32gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-g11-plus-blue_2.jpg"
208, Nokia G11 Plus 3GB 32GB ,2.090.000 đ,32GB,Xanh,https://cellphones.com.vn/nokia-g11-plus-32gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-g11-plus-blue_2.jpg"
209, Nokia C20 ,1.600.000 đ,2GB 32GB,Xanh,https://cellphones.com.vn/nokia-c20.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c20-2.jpg"
210, Nokia C20 ,1.600.000 đ,2GB 32GB,Vàng,https://cellphones.com.vn/nokia-c20.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/n/o/nokia-c20-2.jpg"
211, Oneplus 10T 5G 8GB 128GB ,13.990.000 đ,8GB 128GB,Đen,https://cellphones.com.vn/oneplus-10t-8gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/o/n/oneplus10tblack_1.jpg"
212, OnePlus 11 16GB 256GB ,19.690.000 đ,16GB 256GB,Xanh,https://cellphones.com.vn/oneplus-11.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/o/n/oneplus_11_-_black_-_rgb.jpg"
213, Oneplus 10T 5G 16GB 256GB ,15.990.000 đ,16GB 256GB,Xanh,https://cellphones.com.vn/oneplus-10t.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/o/n/oneplus10t.jpg"
214, ASUS ROG Phone 6 12GB 256GB ,16.990.000 đ,12GB 256GB,Đen,https://cellphones.com.vn/asus-rog-phone-6-12gb-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/b/g/bgf.png"
215, ASUS ROG Phone 6 12GB 256GB ,16.990.000 đ,12GB 256GB,Trắng,https://cellphones.com.vn/asus-rog-phone-6-12gb-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/b/g/bgf.png"
216, ASUS ROG Phone 6 Batman 12GB 256GB ,18.790.000 đ,256GB,Xám,https://cellphones.com.vn/asus-rog-phone-6-batman-12gb-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/d/v/dvfdgty.jpg"
217, ASUS ROG Phone 7 16GB 512GB ,24.990.000 đ,512GB,Trắng,https://cellphones.com.vn/asus-rog-phone-7.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/_/1_366.jpg"
218, ASUS ROG Phone 7 16GB 512GB ,24.990.000 đ,512GB,Đen,https://cellphones.com.vn/asus-rog-phone-7.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/_/1_366.jpg"
219, Vivo X80 Pro ,17.990.000 đ,256GB,Đen,https://cellphones.com.vn/vivo-x80-pro.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/g/a/gallery-pc-img1_2.jpg"
220, ASUS ROG Phone 7 Ultimate 16GB 512GB - Chỉ có tại CellphoneS ,29.990.000 đ,512GB,Trắng,https://cellphones.com.vn/rog-phone-7-ultimate.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/1/_/1_365.jpg"
