,product_name,product_memory,product_color,product_price,product_url,img_url
22,iPhone 14 Pro | Chính Hãng VNA,512GB,Space Black,33.190.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/ZaIq6lutgs_GKmAAxMvEhiojQEkQ-VNxjzCZ9TpzmHeWYOXlK4ggdRd0T6tBMn-urxJYAX1j8_xmNrnQssUvibeWU_mDvB0=w500-rw
23,iPhone 14 Pro | Chính Hãng VNA,1TB,Space Black,34.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/o9i2YwgHGtVN6QvZM0mExcJfKB2ltI4dsWCqHQtNz3LLAEw_WI4RRtH87K--v4KBRpdYxBKB4OXdpLjThyDPa5cjX5YHQZwM=w500-rw
24,Điện thoại Samsung Galaxy A53 5G 8GB/128GB,128GB,Black,9.590.000đ,https://phongvu.vn/samsung-galaxy-a53-5g--p418925,https://lh3.googleusercontent.com/j9E2HaI3VKER5ljmk0KrIZ3p-jkXcwMdp0XXvINoGltqIXEbBl15fQdmeV6i0L5oM4CDNEEW0o-vmWuCEgUa-OoroGBKrmw=w500-rw
25,iPhone 14 Pro | Chính Hãng VNA,128GB,Deep Purple,25.290.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/4uOjL_5NLTkBFnlytW2QiculK200SQuVqBSRjiEWSuuubTQ3mOv4OjKID4Xc-FnjltkEUwlG7IiWShHSS8YXG2yfUHcQoYI=w500-rw
26,iPhone 14 Pro | Chính Hãng VNA,128GB,Gold,24.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/HGT0HB4NelZoGniN_EGUbA8D_qCkw0XKgWuxqrX1cyXT7vL87E9fTM0HxbbvijtxWnjr4z5ARIJktOuACyt6R_RbEOe7l7Cf=w500-rw
27,Điện thoại Samsung Galaxy A23 5G 4GB/128GB,128GB,Blue,6.190.000đ,https://phongvu.vn/samsung-galaxy-a23-4gb-128gb--p467180,https://lh3.googleusercontent.com/mZuFeUPG9Dv-8s-zk8zCVmJ5Pk1g1NnuHZIZu_Z-_QRzI-yvP2F_lPnwTxlaUcCq3xl5lpf9TbVlG34EH6keCF9xgGVTxM_Q=w500-rw
28,Điện thoại Samsung Galaxy S21 FE 5G 8GB/128GB,128GB,Lavender,11.790.000đ,https://phongvu.vn/samsung-galaxy-s21-fe-5g-8gb-128gb--p466801,https://lh3.googleusercontent.com/Wlg6s9925VWh6XQnvPNVUus5c8dfwN8DfwfdnR2ri6UZILUVpEJMgZZFMGPMScrAURHUo7-NszhV3BOiQwNrbDEV0S-G-hsP=w500-rw
29,Điện thoại Samsung Galaxy S21 FE 5G 8GB/128GB,128GB,Graphite,11.790.000đ,https://phongvu.vn/samsung-galaxy-s21-fe-5g-8gb-128gb--p466801,https://lh3.googleusercontent.com/3m7MjOhaS-ymgk2_AyFUY6ur3aGgmYS4nKtJcy3eRsl_hULB3jemBGNB-vwBKTg2Gh3wkl4hSrPyDFqnthEKwP5asSdA_L--=w500-rw
30,Điện thoại Samsung Galaxy S21 FE 5G 8GB/128GB,128GB,White,11.790.000đ,https://phongvu.vn/samsung-galaxy-s21-fe-5g-8gb-128gb--p466801,https://lh3.googleusercontent.com/CxlkNX2uUgB0Uq4bd5V8rvGnmH3Fo-23MA4WB2jVmCcN5gpF_DaI5C29SaNLLTfqpUzdZCcUZAWzk0BjinT4KvdWtdCu4lyu=w500-rw
31,Điện thoại Samsung Galaxy A04s 4GB/64GB,64GB,Copper,3.190.000đ,https://phongvu.vn/samsung-galaxy-a04s-4gb-64gb--p468120,https://lh3.googleusercontent.com/T-bAMy5b4-8qkBJI9gGqwm-T83HOpSUxbqm5vuo3d372f3uDxNwltA2zZZ0Uz5CrFjdqzGUz5VX2wcHYlYsXd971liwfzjO9=w500-rw
32,Điện thoại Samsung Galaxy A04s 4GB/64GB,64GB,Black,3.190.000đ,https://phongvu.vn/samsung-galaxy-a04s-4gb-64gb--p468120,https://lh3.googleusercontent.com/M19hPtFT6_utWVNcFc_rGHSgYN7zuVcYdQN-L5XNFPQnj9MSp-qRPGsoZ4bY4QVlfCJZWk7zkdR6oMC7C363iOblRRXeGUs=w500-rw
33,Điện thoại Samsung Galaxy A14 5G 4GB/128GB,128GB,Burgundy,4.890.000đ,https://phongvu.vn/samsung-galaxy-a14-5g-128g--p471199,https://lh3.googleusercontent.com/BfDpMYv9piGatTO1BS3b-27VfYgdHppQR_K9yzjPvdhVBnipAt66R4x0N4a2Tqdsup37tdhLnnPK2lq-oTPdvKUxhy59PB36Hg=w500-rw
34,Điện thoại Samsung Galaxy A14 5G 4GB/128GB,128GB,Aura Silver,4.890.000đ,https://phongvu.vn/samsung-galaxy-a14-5g-128g--p471199,https://lh3.googleusercontent.com/srXqdmYw519SVeH9QNSI5weuZX_-gN9UuB-LUhsq9VnDhAHDZgKIWDDDdDB_9NLxZB1zjdFfjq4biVjsnn3YgKXiPHoqhak2ow=w500-rw
35,Điện thoại ASUS ROG Phone 7 16GB/512GB (Snapdragon 8 plus Gen2),512GB,Storm White,24.990.000đ,https://phongvu.vn/dien-thoai-asus-rog-phone-7-16gb-512gb-snapdragon-8-gen2--p513221,https://lh3.googleusercontent.com/WTxu1vLDE4h7xJNoC0CDc3LvEEFy3RmNHO52tsfqm0MJAFWJVKR1uglHR11K9Ft9Z6_23eNQQsvhyj3d3UBGl08MLUh9qQKc=w500-rw
36,iPhone 14 Pro | Chính Hãng VNA,256GB,Deep Purple,27.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/y8NqSLZE4xG_Gs_hxOfvUBdoIEVwiI86yiSFnqTdNggjv6OhwbwdTbJKWnSgBOSTG7Zg2E33O4qPOkyCbhUkKcMPdfBciiKv=w500-rw
37,iPhone 14 Pro | Chính Hãng VNA,512GB,Deep Purple,33.190.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/ZjoFuFxA8LimAUz408pvNwmdYwUv_W02pZEprrVNfKi9g5-uq8qoDfieAeuWcUSSAp7V0AND3r35HztXVQtQnUAxd915F7nn=w500-rw
